LSOA21CD,Local Authority name,dpi normalized,Pct of population speaks no or little English normalized,Pct unemployed or econ inactive normalized,Pct household deprivation normalized,score,LSOA21 Name,pcds
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7BN
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7BP
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7BQ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7BS
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7BT
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7BU
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7BW
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7BX
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7BY
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7BZ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DB
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DD
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DE
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DF
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DH
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DJ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DL
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DP
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DQ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DS
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DU
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DW
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DX
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DY
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7DZ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7EA
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7EB
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7EE
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7EG
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7EW
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7EZ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7HN
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7LW
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7LZ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7NG
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7PF
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7TR
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7TS
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7TU
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7TY
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7UB
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD4 7UG
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0AQ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DD
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DG
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DH
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DJ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DN
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DP
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DT
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DU
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DW
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DX
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DY
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0DZ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0EA
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0EE
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0EF
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0EH
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0EL
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0EN
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0EQ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0EW
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0EX
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0EY
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0EZ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0HA
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0HB
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0HD
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0HE
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0HF
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0HJ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0HQ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0HW
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QB
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QD
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QE
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QH
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QP
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QR
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QS
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QT
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QU
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QW
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QX
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QY
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0QZ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0RF
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0RJ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0RL
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0RN
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0RQ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0RS
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0RT
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0RU
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0RW
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0SP
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0TA
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0TB
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0TD
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0TE
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0TG
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0TH
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0TJ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0TN
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0TP
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0TQ
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0TW
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 0WU
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 7HF
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 7JS
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 7RA
E01010730,Bradford,4.64,4.54,7.29,8.61,25.08,Bradford 045C,BD5 7RB
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3GG
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3LF
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3LJ
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3LN
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3LP
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3LS
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3LU
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3LW
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3LX
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3LY
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3NF
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3NG
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3NL
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3NP
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3NQ
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3NR
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3NS
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3NX
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3PD
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3PE
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3PL
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3PZ
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3TH
E01013656,Leicester,1.79,10.0,4.34,8.89,25.02,Leicester 017B,LE5 3TJ
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AA
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AB
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AD
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AE
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AF
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AJ
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AL
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AN
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AP
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AQ
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AS
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AU
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AW
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AX
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AY
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3AZ
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BA
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BB
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BD
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BE
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BG
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BH
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BJ
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BL
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BP
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BQ
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BS
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BT
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BU
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BW
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BX
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BY
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3BZ
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DA
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DB
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DD
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DE
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DF
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DH
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DJ
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DL
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DN
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DP
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DQ
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DR
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DS
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DT
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DU
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DW
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DX
